timestamp,dx,dy
1744381342.5609944,9,-3
1744381342.5710287,-8,2
1744381342.5771255,8,-1
1744381342.587035,-7,2
1744381342.5929792,10,-4
1744381342.6032307,-3,0
1744381342.6090379,7,0
1744381342.6190193,-1,0
1744381342.627032,2,-1
1744381342.6349237,-1,1
1744381342.643219,0,-1
1744381342.9170825,1,-1
1744381342.9231994,0,-6
1744381342.932972,-2,-7
1744381342.9410508,1,9
1744381343,-4,-12
1744381342.957198,2,4
1744381342.965038,-2,-17
1744381342.9731195,-3,-15
1744381342.9809906,7,32
1744381342.9890819,0,0
1744381342.9970272,-1,-10
1744381343.0051656,-1,-7
1744381343.0130708,-1,-12
1744381343.0210612,-1,-4
1744381343.029085,0,-7
1744381343.0372267,-2,-7
1744381343.0450087,6,56
1744381343.0529666,-1,-3
1744381343.0610616,1,3
1744381343.0692034,0,-2
1744381343.077012,0,6
1744381343.0849388,0,-1
1744381343.093132,1,1
1744381343.100891,0,-1
1744381343.2310574,-2,1
1744381343,2,-1
1744381343.2471642,-2,0
1744381343.2551117,1,0
1744381343.2631216,-2,0
1744381343.2710545,-3,-1
1744381343.2791297,2,1
1744381343.2870183,-7,-1
1744381343.295032,3,1
1744381343.302979,-8,0
1744381343.311009,2,0
1744381343,-12,0
1744381343.3272088,0,-2
1744381343.3350513,-15,0
1744381343.3429885,24,2
1744381343.350961,-30,-1
1744381343.3590739,34,1
1744381343.3669097,-27,-2
1744381343.375446,28,3
1744381343.3829923,-16,-1
1744381343.3912163,14,0
1744381343.3993056,-12,-1
1744381343.4071522,13,0
1744381343.4149835,-11,-2
1744381343,11,2
1744381343.4309645,-10,-1
1744381343.4391558,15,2
1744381343.4470289,-9,-1
1744381343.4550118,7,2
1744381343.4631484,-5,0
1744381343.4711504,-12,-1
1744381343.4791117,-8,0
1744381343.486948,-5,0
1744381343.4971044,28,1
1744381343.5030224,-9,1
1744381343.513085,11,0
1744381343.5210104,-9,1
1744381343.5291488,10,0
1744381343.5369682,-12,4
1744381343.5449696,15,-5
1744381343.5530124,-12,3
1744381343.561051,7,-1
1744381343.5691047,-14,5
1744381343.5770805,12,-5
1744381343.5849097,-10,5
1744381343.5929904,16,-6
1744381343.6011088,-9,4
1744381343.6090434,7,-2
1744381343.6169999,-6,3
1744381343.6252227,5,-4
1744381343.6329808,-7,4
1744381343.640998,8,-3
1744381343.6490078,-7,4
1744381343.6572063,10,-6
1744381343.664992,-7,3
1744381343.6731389,7,-3
1744381343.681153,-8,3
1744381343.6891024,8,-2
1744381343.6971164,-4,1
1744381343.7051039,5,-3
1744381343.7130518,-4,2
1744381343.7210152,-3,1
1744381343.729113,10,-4
1744381343.7369194,-2,1
1744381343.7450838,3,-1
1744381343.7529602,-2,0
1744381343.761151,1,1
1744381343.7689526,-1,1
1744381343.7771587,2,-2
1744381343.784996,0,0
1744381343.803559,0,0
1744381343.9072175,1,1
1744381343.9149523,0,0
1744381343.9231937,-1,0
1744381343.9311073,0,1
1744381343.9391923,0,-2
1744381343.9470098,0,1
1744381343.9550388,0,-1
1744381343.9629688,0,1
1744381343.9711492,-1,0
1744381344,0,0
1744381343.9950066,2,0
1744381344.0109756,0,0
1744381344.0911903,0,-1
1744381344.0990012,0,1
1744381344.109046,0,2
1744381344.1172774,0,6
1744381344.1250155,2,-4
1744381344.133031,3,6
1744381344.1409829,-2,-5
1744381344.149092,4,7
1744381344.1571727,-2,-4
1744381344.164992,4,7
1744381344.1731684,-7,-12
1744381344.1809926,6,7
1744381344.1891587,-5,-7
1744381344.1972497,4,4
1744381344.2052536,-5,-5
1744381344.2130895,4,3
1744381344.2212121,1,2
1744381344.2289705,1,0
1744381344.2372577,1,0
1744381344.2450924,0,1
1744381344.2532413,1,1
1744381344.2610512,-10,-10
1744381344.2692978,2,1
1744381344.277153,0,0
1744381344.2850096,1,1
1744381344.2929866,-1,-1
1744381344,2,0
1744381344.3089943,-3,0
1744381344.317055,1,0
1744381344.3251584,-1,0
1744381344.332921,1,0
1744381344.3572104,-2,-1
1744381344.3891659,1,1
1744381344.510993,-1,-1
1744381344.519304,1,1
1744381344.5271096,-1,0
1744381344.5350099,0,0
1744381345,1,0
1744381344.5509846,0,0
1744381344.5591114,0,0
1744381344.5670822,0,1
1744381344.5750341,-1,-1
1744381344.583009,1,1
1744381344.5914426,0,0
1744381344.5992677,2,2
1744381344.6072052,-1,0
1744381344.6150024,5,7
1744381344.6232326,-2,-6
1744381344.631035,7,6
1744381344.6391532,6,8
1744381344.6471753,-13,-12
1744381344.6551945,2,0
1744381344.663012,6,7
1744381344.6709452,5,7
1744381344.6791072,-13,-14
1744381344.6891077,-1,-3
1744381344.6950371,4,7
1744381344.7051103,-6,-8
1744381344.7129576,2,4
1744381344.7210038,2,2
1744381344.7290778,1,3
1744381344.736975,2,2
1744381344.7450285,-9,-12
1744381344.7530077,2,1
1744381344.761101,-1,-1
1744381344.7693603,0,0
1744381344.777038,-1,0
1744381344.7850475,1,0
1744381344.7931583,-1,-1
1744381344.801051,0,1
1744381344.8090253,1,-2
1744381344.817152,1,2
1744381344.8251212,-2,-2
1744381344.832963,0,1
1744381344.8409944,0,-1
1744381344.8577309,0,1
1744381345.0173547,-1,0
1744381345.027127,-2,-1
1744381345.0329525,-2,1
1744381345.0430684,0,1
1744381345.051031,-4,1
1744381345.059005,5,-2
1744381345.0670571,-8,2
1744381345.0750384,9,-1
1744381345.0829775,-9,2
1744381345.0912118,4,-1
1744381345.0991604,-5,2
1744381345.1073554,8,-3
1744381345.115122,-6,3
1744381345.1230528,6,-3
1744381345.130979,-6,2
1744381345.139057,7,-2
1744381345.1471446,-3,0
1744381345.1550453,2,0
1744381345.1630056,-7,2
1744381345.1710138,9,-3
1744381345.1790164,-2,1
1744381345.1870136,-2,0
1744381345.1949658,5,-1
1744381345.2029626,-1,0
1744381345.2110736,2,0
1744381345.219238,-1,0
1744381345.2270274,2,-1
1744381345.235012,-1,0
1744381345.2431095,1,0
1744381345.251168,-2,1
1744381345.2591767,2,0
1744381345.2670126,-1,0
1744381345.2751727,0,-1
1744381345,0,0
1744381345.3733091,1,1
1744381345.5572906,-1,-1
1744381345.5732348,-1,0
